song,Artist,Genres,Songwriter,Lyrics,
Scared to Be Lonely,"Martin Garrix,Dua Lipa","dance pop,dutch edm,edm,pop,pop dance,progressive house,tropical house,uk pop","Martin Garrix, Giorgio Tuinfort, Nathaniel Campany, Kyle Shearer, Georgia Ku","It was great at the very start
Hands on each other
Couldn't stand to be far apart
Closer the better

Now we're picking fights
And slamming doors
Magnifying all our flaws
And I wonder why
Wonder what for
Why we keep coming back for more

Is it just our bodies?
Are we both losing our minds?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?
Do we need somebody
Just to feel like we're alright?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?

Too much time, losing track of us
Where was the real?
Undefined, spiraling out of touch
Forgot how it feels

All the messed up fights
And slamming doors
Magnifying all our flaws
And I wonder why
Wonder what for
It's like we keep coming back for more

Is it just our bodies?
Are we both losing our minds?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?
Do we need somebody
Just to feel like we're alright?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?

Scared to be lonely

Even when we know it's wrong
Been somebody better for us all along
Tell me, how can we keep holding on?
Holding on tonight
'Cause we're scared to be lonely
Even when we know it's wrong
Been somebody better for us all along
Tell me, how can we keep holding on?
Holding on tonight
'Cause we're scared to be lonely

Is it just our bodies?
Are we both losing our minds?
Is the only reason you're holding me tonight
'Cause we're scared to be lonely?

Scared to be lonely
Scared to be lonely
Eh, eh, scared to be lonely",
Pieces Of Me,Ashlee Simpson,"dance pop,post-teen pop","Ashlee Simpson, Kara DioGuardi, John Shanks","On a Monday, I am waiting
Tuesday, I am fading
And by Wednesday, I can't sleep
Then the phone rings, I hear you
And the darkness is a clear view
Cuz you've come to rescue me

Fall... With you, I fall so fast
I can hardly catch my breath, I hope it lasts

Ohhhhh
It seems like I can finally rest my head on something real
I like the way that feels
Ohhhhh
It's as if you know me better than I ever knew myself
I love how you can tell
All the pieces, pieces, pieces of me
All the pieces, pieces, pieces of me

I am moody, messy
I get restless, and it's senseless
How you never seem to care
When I'm angry, you listen
Make me happy it's your mission
And you won't stop til I'm there

Fall... Sometimes I fall so fast
When I hit that bottom crash, you're all I have

Ohhhhh
It seems like I can finally rest my head on something real
I like the way that feels
Ohhhhh
It's as if you known me better than I ever knew myself
I love how you can tell
All the pieces, pieces, pieces of me

How do you know everything I'm about to say?
Am I that obvious?
And if it's written on my face...
I hope it never goes away... yeah

On a Monday, I am waiting
And by Tuesday, I am fading into your arms...
So I can breathe

Ohhhhh
It seems like I can finally rest my head on something real
I like the way that feels
Ohhhhh
It's as if you've know me better than I ever knew myself
I love how you can tell
Ohhhhh
I love how you can tell
Ohhhhh
I love how you can tell
All the pieces, pieces, pieces of me
All the pieces, pieces, pieces of me...",
Love Is Waiting,Brooke Fraser,"nz christian,nz pop,worship",Brooke Fraser,"In the autumn on the ground,
between the traffic and the ordinary sounds
I am thinking signs and seasons while a north wind blows through
I watch as lovers pass me by
Walking stories - whos and hows and whys
Musing lazily on love
Pondering you
I'll give it time, give it space and be still for a spell
When it's time to walk that way we wanna walk it well

[CHORUS:]
I'll be waiting for you baby
I'll be holding back the darkest night
Love is waiting til we're ready, til it's right
Love is waiting

It's my caution not the cold
there's no other hand that i would rather hold
the climate changes, I'm singing for the strangers about you
don't keep time, slow the pace
Honey hold on if you can
the bets are getting surer now that you're my man

[CHORUS]

[BRIDGE:]
I could write a million songs about the way you say my name
I could live a lifetime with you and then do it all again
and like I can't force the sun to rise or hasten summer's start,
neither should I rush my way into your heart",
Sitting Down Here,Lene Marlin,norwegian pop,Lene Marlin,"I'm sitting down here
But, hey, you can't see me

Your words cut rather deeply
They're just some other lies
I'm hiding from a distance
I've got to pay the price
Defending all against it
I really don't know why
You're obsessed with all my secrets
You always make me cry
You seem to wanna hurt me
No matter what I do
I'm telling just a couple
But somehow it gets to you
But I've learned to get revenge
And I swear you'll experience that some day

I'm sitting down here
But, hey, you can't see me
Kinda invisible
You don't sense my stay
Not really hiding, not like a shadow
Just thought I would join you for one day

I'm sitting down here
But, hey, you can't see me (see me, see me, see me, see me)

I'm not trying to avoid you
Just don't wanna hear your voice
When you call me up so often
I don't really have a choice

You're talking like you know me
And wanna be my friend
But that's really too late now
I won't try it once again

You may think that I'm a loser
That I don't really care
You may think that it's forgotten
But you should be aware
'Cause I've learned to get revenge
And I swear you'll experience that some day

I'm sitting down here
But, hey, you can't see me
Kinda invisible
You don't sense my stay
Not really hiding, not like a shadow
Just thought I would join you for one day

I'm sitting down here
But, hey, you can't see me
Kinda invisible
You don't sense my stay
Not really hiding, not like a shadow
But sure I wanna join you for one day

You seem to wanna hurt me
No matter what I do
I'm telling just a couple
But somehow it gets to you
But I've learned to get revenge
And I swear you'll experience that some day

I'm sitting down here
But, hey, you can't see me
Kinda invisible
You don't sense my stay
Not really hiding, not like a shadow
Just thought I would join you for one day

I'm sitting down here
But, hey, you can't see me (sitting down here)
Kinda invisible
You don't sense my stay
Not really hiding, not like a shadow (not like a shadow)
But sure I wanna join you for one day

I'm sitting down here
But, hey, you can't see me (sitting down here)
Kinda invisible
You don't sense my stay
Not really hiding, not like a shadow (not like a shadow)
Just thought I would join you for one day

I'm sitting down here
But, hey, you can't see me (sitting down here)
Kinda invisible
You don't sense my stay
Not really hiding, not like a shadow (not like a shadow)
But sure I wanna join you for one day",
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner,Seeb","dance pop,edm,pop,pop rap,rap,electro house,norwegian pop,pop dance,pop edm,tropical house","Mike Posner,Seeb","I took a pill in Ibiza
To show Avicii I was cool
And when I finally got sober, felt ten years older
But fuck it, it was something to do
I'm living out in LA
I drive a sports car just to prove
I'm a real big baller cause I made a million dollars
And I spend it on girls and shoes

But you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be
All alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing

All I know
Are sad songs, sad songs
Darling, all I know
Are sad songs, sad songs

I know, are sad songs
I know, are sad songs
I know, are sad songs
I know, are sad songs

I'm just a singer
Who already blew his shot
I get along with old timers cause my name's a reminder
Of a pop song people forgot
And I can't keep a girl, no
Cause as soon as the sun comes up
I cut 'em all loose and work's my excuse
But the truth is I can't open up

And you don't wanna be high like me
Never really knowing why like me
You don't ever wanna step off that roller coaster and be
All alone
You don't wanna ride the bus like this
Never knowing who to trust like this
You don't wanna be stuck up on that stage singing
Stuck up on that stage singing

All I know
Are sad songs, sad songs
Darling, all I know
Are sad songs, sad songs

I know, are sad songs
I know, are sad songs
Sad songs
I know, are sad songs
Sad songs
I know, are sad songs",
Lights,Ellie Goulding,"dance pop,edm,electropop,indietronica,metropopolis,pop,uk pop","Stannard Richard Frederick, Howes Ash, Goulding Elena Jane","I had a way then losing it all on my own
I had a heart then but the queen has been overthrown
And I'm not sleeping now, the dark is too hard to beat
And I'm not keeping now the strength I need to push me

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine it when I'm alone home

Voices I play within my head
Touch my own skin and hope that I'm still breathing
And I think back to when my brother and my sister slept
In an unknown place the only time I feel safe

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine it when I'm alone home

Yeah, hee

Light, lights, lights, lights
Light, lights, lights, lights
(Home, home)
Light, lights, lights, lights
Light, lights

You show the lights that stop me turn to stone
You shine it when I'm alone
And so I tell myself that I'll be strong
And dreaming when they're gone

'Cause they're calling, calling, calling me home
Calling, calling, calling home
You show the lights that stop me turn to stone
You shine it when I'm alone home

Home, home
Light, lights, lights, lights
Light, lights, lights, lights

Home, home
Light, lights, lights, lights
Light, lights, lights, lights

Home, home
Light, lights, lights, lights
Light, lights, lights, lights

Home, home
Light, lights, lights, lights
Light, lights, lights, lights",
Stranded,Jennifer Paige,pop,"Matt Bronleewe, Tiffany Arbuckle Lee","You know it only breaks my heart
To see you standing in the dark
Alone waiting there for me to come back
I'm too afraid to show

If it's coming over you
Like it's coming over me
I'm crashing like a tidal wave
That drags me out to sea
I wanna be with you
If you wanna be with me
Crashing like a tidal wave
I don't wanna be
Stranded
Stranded
Stranded
So baby come back to me (Stranded)
So baby come back to me (Stranded)

I can only take so much
These tears are turning me to rust
I know you're waiting there for me to come back
I'm too afraid to show

If it's coming over you
Like it's coming over me
I'm crashing like a tidal wave
That drags me out to sea
I wanna be with you
If you wanna be with me
Crashing like a tidal wave
I don't wanna be
Stranded
So baby come back to me (Stranded)
So baby come back to me (Stranded)

I miss you
Oh baby
Without you
I'm stranded
I love you
So come back
I'm not afraid to show

Crashing like a tidal wave
Drags me out to sea
I wanna be with you
You wanna be with me
Crashing like a tidal wave
I don't wanna be
Stranded
It's coming over you (Stranded)
It's coming over me (Stranded)
It's coming over you (Stranded)

So baby come back to me (Stranded)
So baby come back to me (Stranded)

Coming over you
Coming over me

So baby come back to me
So baby come back to me",
Sissy That Walk,RuPaul,"dance pop,diva house,pop,strut","Lucian Piane, Rupaul","Pick myself up, turn the world on its head
Don't forget what, don't forget what my mama said
People talking (ish), since the beginning of time
Unless they paying your bills, pay them bitches no mind

And if I fly, or if I fall
Least I can say I gave it all
And if I fly, or if I fall
I'm on my way, I'm on my way

Fly, fly, fly, fly [4x]

Now sissy that walk!

Better beware
Ain't no T, ain't no shade
But at the same time, bitches better get out the way
I'm a femme queen, Mother of the House of No Shame
My pussy is on fire, now kiss the flame

And if I fly, or if I fall
Least I can say I gave it all
And if I fly, or if I fall
I'm on my way, I'm on my way

Fly, fly, fly, fly [4x]

Now sissy that walk!

And if I fly, or if I fall
Least I can say I gave it all
And if I fly, or if I fall
I'm on my way, I'm on my way

Fly, fly, fly, fly [8x]

Now sissy that walk!",
American Dream Man,Leslie Hunt,"dance pop, pop",Leslie Hunt,"i don’t have to worry, have to worry
whether or not you would love me 
if i just started packing, started packing 
baby weight on my body 
‘cause you are the american dream man
your love is stronger than your need 
for unrealistic demands 
but that’s not the end of his good deeds

he always smells good, like they all should 
keeps his clothes folded up in a drawer
comes up behind me, kisses my neck 
as he starts sweeping the floor
because he is the ultimate clean man
come one, come all and feast your eyes
on this here dying breed man
hands in your pockets, ‘cause this one’s mine

and did i forget to mention that he instinctively 
knows just where to be focusing energies
ladies, if you know what i mean
shall we raise up our glasses
here’s to all my dreams come true
in the form of an american man

he’s got a lot of manly man things, to be sure
he brings them all to the table
along with gourmet dishes
whatever my wish is that day, he makes it happen
‘cause he is the american dream man
come one, come all and pinch your side
to see if maybe you’re dreaming
‘cause i have to do it all the time

just try to find another one
bet you’ll have one hell of a time
until we have a son (i’m kidding)
but allow me to boast as we raise for a toast now
here’s to all my dreams come true
in the form of an american man

if you know what i mean
shall we raise up our glasses
here’s to what my friends refer to as a ‘bonus’
we’re talking brains over braun
and his shoulders are plenty wide enough to lean on
and upstairs, he’s got it going on
after all, he is the american dream man
he is the ultimate clean man
he is the american dream man",
Wayne,Chantal Kreviazuk,"canadian pop,candy pop,ectofolk,lilith,new wave pop,piano rock",Chantal Kreviazuk,"I'll be the girl with the long blond hair
And the really pale skin, if you care
I sit in the corner of the room
Cross-legged and quiet, filled with doom, mmhm

I never ever liked the smell in here
It's cold and wet and reeks of beer
The lights are turned out permanently
But that's OK 'cause I don't want to see

Wayne
Wait for me
And take me up in your hot air balloon
And feed me cotton candy
Wayne
Pray for me
'Cause I'll be there in a couple of years
Until then, wait for me

Who's the strange lady with the big silly hair
And berries on her face, dressed like a pear
Do I really have to hold her hand
And pretend she's mommy, your wife and man
When I know you're not my mommy

It's crowded and I feel lost in here
I'm trying to find a familiar fear
I look everywhere but I just can't see
There's not anything that reminds me of me, oh

Wayne
Wait for me
Take me up in your hot air balloon
And feed me cotton candy
Wayne
Pray for me
'Cause I'll be there in a couple of years
Until then, wait for me

You made me fresh as flowers
Under these rocks and stones

Wayne
Wait for me
And take me up in your hot air balloon
And feed me cotton candy
Wayne
Pray for me
'Cause I'll be there in a couple of years
Until then wait for me, no oh oh
Take me in your hot air balloon
And feed me cotton candy
Wayne
Pray for me
'Cause I'll be there in a couple of years
Until then, wait for me",
Winter,Tori Amos,"art pop,ectofolk,lilith,melancholia,new wave pop,permanent wave,piano rock,pop rock,singer-songwriter",Tori Amos,"Snow can wait. I forgot my mittens
Wipe my nose
Get my new boots on

I get a little warm in my heart
When I think of winter
I put my hand in my father's glove

I run off
Where the drifts get deeper
Sleeping beauty trips me with a frown

I hear a voice,
""You must learn to stand up for yourself
'Cause I can't always be around.""

He says
When you gonna make up your mind
When you gonna love you as much as I do
When you gonna make up your mind

'Cause things are gonna change so fast
All the white horses are still in bed
I tell you that I'll always want you near
You say that things change, my dear

Boys get discovered
As winter melts
Flowers competing for the sun

Years go by
And I'm here still waiting
Withering where some snowman was

Mirror mirror
Where's the crystal palace
But I only can see myself

Skating around the truth
Who I am
But I know, dad, the ice is getting thin

When you gonna make up your mind
When you gonna love you as much as I do
When you gonna make up your mind

'Cause things are gonna change so fast
All the white horses are still in bed
I tell you that I'll always want you near
You say that things change my dear

Hair is grey
And the fires are burning
So many dreams on the shelf

You say I wanted you
To be proud of me
I always wanted that myself

When you gonna make up your mind
When you gonna love you as much as I do
When you gonna make up your mind

'Cause things are gonna change so fast
All the white horses have gone ahead
I tell you that I'll always want you near
You say that things change, my dear

Never change
All the white horses",
Hold Me,Savage Garden,"australian pop,boy band,dance pop,europop,pop rock","Daniel Jones, Darren Hayes","Hey yey, if we can't find a way out of these problems
Then maybe we don't need this
Standing face to face
Enemies at war, we'd build defenses
And secret hiding places

I might need you to hold me tonight
I might need you to say, ""It's alright""
I might need you to make the first stand
Because tonight, I'm finding it hard to be your man
(You hold me tonight)
(Say, ""It's alright"")

Hey yey, more than angry words I hate this silence
It's getting so loud, well, I wanna to scream
But bitterness has silenced these emotions
It's getting hard to breathe
So tell me, isn't happiness
Worth more than a gold and diamond ring?
I'm willing to do anything, to calm the storm in my heart
I've never been the praying kind
But lately, I've been down upon my knees
Not looking for a miracle
And just a reason to believe

I might need you to hold me tonight
I might need you to say, ""It's alright""
I might need you to make the first stand, yey
Because tonight I'm finding it hard to be your man

Do you remember not long ago?
When we used to live for the night time
Cherish each moment
Now we don't live, we exist
We just pull through our lives, so alone
That's why you've got to hold me

Hey yey, if we can't find a way out of these problems
Then maybe we don't need this
Standing face to face
Enemies at war, we'd build defenses
And secret hiding places

I might need you to hold me tonight
I might need you to say, ""It's alright""
I might need you to make the first stand
Because tonight, I'm finding it hard to be your man
(Hold me tonight)
I might need you to say, ""It's all right""
I might need you to make the first stand
Because tonight, I'm finding it hard to be your man
(Hold me tonight)
(Say, ""It's alright"")
I might need you to make the first stand
Because tonight, I'm finding it hard to be your man
(Hold me tonight)
(Say, ""It's alright"")
Hold me tonight
Say, ""It's alright""",
Beauty on the Fire,Natalie Imbruglia,"australian pop,dance pop,europop,lilith,new wave pop,pop rock","Natalie Imbruglia,Gary Clark,Matthew Wilder","Here it comes again
Cannot outrun my desire
Cover my descent
And throw the beauty on the fire

Drawn towards the edge
Do I assume I could fly?
Every secret shared
Why do I drink the feelings dry?
Don't go too far
Limitation scars

Tonight, could I be lost forever
To drown my soul in Sensory Pleasure?

Here it comes again
You raise the bar even higher
I cannot catch my breath
So throw the beauty on the fire
Don't push too hard
Limitation scars

Tonight, could I be lost forever
To drown my soul in Sensory Pleasure?

Sensory Pleasure
Sensory Pleasure
Sensory Pleasure
Could I be lost forever?

Do I assume I could fly?

Tonight, could I be lost forever
To drown my soul in Sensory Pleasure?

Sensory Pleasure
Sensory Pleasure
Sensory Pleasure
Could I be lost forever?",
Before You,Chantal Kreviazuk,"canadian pop,candy pop,ectofolk,lilith,new wave pop,piano rock",Chantal Kreviazuk,"Baby, before you
Well, I was bad news
In lettin' me love you
I think I can get through

Oh, baby before you
Well, I was so scared
I was a train wreck waitin' to happen
On the way to nowhere

And now I think it's kinda funny that you say you love me
You tell me that I'm crazy then you smile

And now I think I'll get through the end of the world
And now I think I'll get through bein' a girl
Now I think I'll get through anything
And now I think I'll get through

Now honey around you
Well, I'm feelin' so good
'Cause you picked me up out of the rough
And you polished me up and made me brand new

And baby before you, ho ho
There was just a black hole
Yeah, I was beat down, blacked out
My darling you couldn't even know

But ever since I met you on a cloudy Monday
I can't believe how much I love the rain

And now I think I'll get through the end of the world
And now I think I'll get through life as a girl
Now I think I'll get through anything
Now I think I'll get through

Ever since I met you on a cloudy Monday
I can't believe how much I love the rain

And now I think I'll get through the end of the world
And now I think I'll get through life as a girl
Now I think I'll get through anything
Now I think I'll get through

Oh oh, now I think I'll get through
Oh, now I think I'll get through
Oh oh, and now I think I'll get through

And now I think I'll get through
Oh, and now I think I'll get through
Oh, and now I think I'll get through
Oh, and now I think I'll get through",
Sweet Nothing,"Calvin Harris,Florence Welch","dance pop,edm,electro house,house,pop,pop rap,progressive house,uk dance,uk pop","Calvin Harris, Florence Welch, Kid Harpoon","
You took my heart and you held it in your mouth
And with a word all my love came rushing out
And every whisper, it's the worst,
Emptied out by a single word
There is a hollow in me now

So I put my faith in something unknown
I'm living on such sweet nothing
But I'm tired of hope with nothing to hold
I'm living on such sweet nothing

And it's hard to learn
And it's hard to love
When you're giving me such sweet nothing
Sweet nothing, sweet nothing
You're giving me such sweet nothing

[Beat break]

It isn't easy for me to let it go
Cause I've swallowed every single word
And every whisper, every sigh
Eats away this heart of mine
And there is a hollow in me now

So I put my faith in something unknown
I'm living on such sweet nothing
But I'm tired of hope with nothing to hold
I'm living on such sweet nothing

And it's hard to learn
And it's hard to love
When you're giving me such sweet nothing
Sweet nothing, sweet nothing
You're giving me such sweet nothing

[Beat break]

And it's not enough to tell me that you care
When we both know the words are empty air
You give me nothing

Uoooh
Uoooh
Uoooh
Nothing",
The Keepers,Santigold,"alternative dance,electropop,escape room,indietronica,new rave",Santigold ,"I walk blind with smoke in my eyes
It's like we don't know where we been
That's it, boy, just state your case
You're just as wrong as you were then
One tough move throw your hands up
Say I don't make no rules
No one even knows I'm here
Now it's on you to man up
You say no weight'll hang on what
You say

We're the keepers
While we sleep in America
Our house is burning down
Our house is burning
We're the keepers
While we sleep in America
Our house is burning down
Our house is burning
Down, down it burns down
Our house is burning down

Ask me why a dream gets you by
But let it want, turns a dangerous thing
Watch out for it, it snakes right past
Then turns around
And it sucks you in
What happens when you get stuck
Get to the bottom of
The illusion that you're in
From the roots now it's shook up
Know that what ails without will do
You in

We're the keepers
While we sleep in America
Our house is burning down
Our house is burning
We're the keepers
While we sleep in America
Our house is burning down
Our house is burning
Down, down it burns down
Our house is burning down

And not a thing I've done
Abates my fear
And now a thing I've done
Abates my fear
And still although our hearts can't run
We are gone
We are gone
On the heels of all we have done, know

We're the keepers
While we sleep in America
Our house is burning down
Our house is burning
We're the keepers
While we sleep in America
Our house is burning down
Our house is burning
Down, down it burns down
Our house is burning down",
Break You,Marion Ravn,"candy pop,norwegian pop",Marion Ravn,"I was your girl, gave you my world
My everything
But you wouldn't see

I had your back
I backed you up
whatever I did
was never enough

Just you... you
That's all you ever thought about
You... you
No one matters like you do
what goes around comes around
You should know by now

[Chorus :]
Bet you never thought that I could break you
Did you think that i would look the other way
Yeah you had it all figured out
But tell me who's the one who's crying now

The palm of your hand, that was your plan
gave me no time but now you want mine
It's all about take you took too much
Nothing inside I'm all used up

Come on
You... you
Nothing else matters like
You do
You know what I'm talkin' 'bout
Don't you
what goes around comes around
You should know by now

[Chorus]

All your one night stands ( should've thought about that )
Says she's just a friend ( should've thought about that )
Are you satisfied now' ( should've thought about that )
cause you can't hold me down

Not now I wanna thank you 'cause now I'm free
I can breath again and I'm never going back to you

[Chorus]

Bet you never thought that I could break you
( Bet you never thought that I could break you )
Did you think that i would look the other way
yeah you had it all figured out
But tell me who's the one who's crying now",
Juice,Lizzo,"dance pop,escape room,minnesota hip hop,pop,trap queen","Melissa Jefferson,Eric Frederic,Theron Thomas,Sam Sumser,Sean Small","Mirror, mirror on the wall
Don't say it 'cause I know I'm cute (Ooh, baby)
Louis down to my drawers
LV all on my shoes (Ooh, baby)
I be drippin' so much sauce
Gotta been looking like RAGÚ (Ooh, baby)
Lit up like a crystal ball
That's cool, baby, so is you
That's how I roll

If I'm shinin', everybody gonna shine (Yeah, I'm gold)
I was born like this, don't even gotta try (Now you know)
I'm like chardonnay, get better over time (So you know)
Heard you say I'm not the baddest, bitch, you lie (Haha)

It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee, ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice (Ooh, baby)

No, I'm not a snack at all
Look, baby, I'm the whole damn meal (Ooh, baby)
David, you ain't bein' slick
Don't dare try to cop a feel (Ooh, baby)
The juice ain't worth the squeeze
If the juice don't look like this (Like this, like this, like this)
Hold up, nigga, please
Don't make me have to take your bitch, shit (How I roll)

If I'm shinin', everybody gonna shine (Yeah, I'm gold)
I was born like this, don't even gotta try (Now you know)
I'm like chardonnay (Okay), get better over time (So you know)
Heard you say I'm not the baddest, bitch, you lie (You lie)

It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof
Gotta blame it on my juice
Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice (Alright)
Ya-ya-ee

Somebody come get this man
I think he got lost in my DMs, what? My DMs, what?
You better come get your man
I think he wanna be way more than friends, what?
More than friends
What you want me to say?

It ain't my fault that I'm out here gettin' loose
Gotta blame it on the Goose
Gotta blame it on my juice, baby
It ain't my fault that I'm out here makin' news
I'm the pudding in the proof (Puddin' in the proof)
Gotta blame it on my juice (Blame it on my juice)
Ya-ya-ee (Yay-ya), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
Ya-ya-ee (Ya-ya-ee), ya-ya-ee, ya-ya-ee, ya-ya-ee
Blame it on my juice, blame it, blame it on my juice
(Blame it on it, yeah)",
American,"RuPaul,The Cast of RuPaul’s Drag Race, Season 10,Kummerspeck","dance pop,diva house,pop,strut","Rupaul, Aquaria, Asia O'Hara, Eureka, Kameron Michaels","I am American, American
I am American, American
My, my, my, my country 'tis of thee
These are all my friends, we are a family

[Verse 1: Aquaria]
Bonjour!
Curtains up with the lights flashing bright
The number one showstopping diva here for your delight
Life, liberty, and me!
Serving face and dressed to the nines
Come on, give me my encore, baby, it's showtime
Turning looks, stunting pretty
I'm the bitch from New York City
Playing at the parties and I know that I am carrying
I might be an Aquarian but—

[Chorus: RuPaul]
I am American, American, American
I am American, American
Red, white, and blue
Am-Am-Am-Am-Am-American, American, American
I am American, American, just like you too

[Verse 2: Asia O'Hara]
Her name was etched in sorrow, but now it's blasted in lights
With beauty that can blossom out of dark, cold nights
Her quest to find her brightness through her darkest day
American dreams are built on words we dare not say
She's you and them, she is me and him
She's the stars and stripes flying high
Red, white, and blue, she is me and you
She's American through and through

[Chorus: RuPaul]
I am American, American, American
I am American, American
Red, white, and blue
Am-Am-Am-Am-Am-American, American, American
I am American, American, just like you too

[Verse 3: Eureka O'Hara]
Eureka, you found it!
Watch me smile and watch me slay
'Cause I'm living for my true self everyday
It's not about your color, gender, or size
But if we come together, we can rise
I came from nothing, made me wanna scream
But I fought for my piece of the American Dream
You can be a stripe and get in line
Or be a star and not be defined
Come on y'all, live free
I'm the elephant queen, what are you gonna be?

[Chorus: RuPaul]
I am American, American, American
I am American, American
Red, white, and blue
Am-Am-Am-Am-Am-American, American, American
I am American, American, just like you too",
Mouth,Merril Bainbridge,pop,Merril Bainbridge,,"I feel like I've been blown apart
There are pieces here
I don't know where they go
I don't know where they go
Kiss me on my salty lips
I bet you feel a little crazy
But for me
We'll be famous on TV
Would it be my fault if I could turn you on?
Would I be so bad if I could turn you on?
When I kiss your mouth, I want to taste it
Turn you upside down, don't want to waste it
I jump on you, you jump on me
You push me out and
Even though you know I love you
I'd be inclined to slap you in the mouth
When I kiss your salty lips
You will feel a little crazy
But for me
I'll be famous on TV
Would it be my fault if I could turn you on?
Would I be so bad if I could turn you on?
When I kiss your mouth, I want to taste it
Turn you upside down, don't want to waste it
Would it be my fault if I could turn you on?
Would I be so bad if I could turn you on?
When I kiss your mouth, I want to taste it
Turn you upside down, don't want to waste it
Now, will it be my fault if I
Take your love and throw it wide
You might restrain me
But could you really blame me
And you will feel you're blown apart
All the pieces there
Will fit to make you whole
And I know where they go
When I kiss your mouth, I want to taste it
Turn you upside down, don't want to waste it"
Kings & Queens,Brooke Fraser,"nz christian,nz pop,worship",Brooke Fraser,"We've got a long way to go but we got the energy
It took a little while to find reality
We've come a long way you know, living inside a dream
Waking to find that we are kings and queens
Lights on
Sometimes this feels like sleeping with the lights on, oh
The memories stay
They loop their lies on endless replay, oh
Been sleeping where I fall if I can sleep at all
'Cause I wake where I wanna if I wake at all
To see the lines are blurred, reality deferred
And we're chasing down tomorrow
We've got a long way to go but we got the energy
It took a little while to find reality
We've come a long way you know, living inside a dream
Waking to find that we are kings and queens
Ride on
Let's ditch the dark babe, we just gotta ride on, oh
Don't let lies through
They'll trick your mind and turn your heart to stone
Forget the wars we fight, forget the tears you cry
'Cause we go where we wanna but that won't be tonight
To see the edges fade between the light and shade
And we're chasing down forever, oh
We've got a long way to go but we got the energy
It took a little while to find reality
We've come a long way you know, living inside a dream
Waking to find that we are kings and queens
We've got a long way to go but we got the energy
It took a little while to find it, to find it, to find it
We've come a long way you know, living inside a dream
It took a little while to find it, to find it, to find it
We've got a long to go but we got the energy
It took a little while to find reality
We've come a long way you know, living inside a dream
Waking to find that we are kings and queens
We've got a long to go but we got the energy
It took a little while to find reality
We've come a long way you know, living inside a dream
Waking to find that we are kings and queens",
